10000;1400-1500;Mo-Fr;ARG;LOL Buenos Aires;-TS;ARG;b;1;;
10000;0000-2400;;B;PPE Observatorio Nac.;-TS;B;ro;1;;
10000;0000-2400;;CHN;BPM Xian;-TS;CHN;p;1;;
10000;0000-2400;;HWA;WWVH Hawaii (f.ann.);-TS;USA;c;1;;
10000;0000-2400;;I;ItalCable;-TS;SEu;v;6;2603;3009
10000;0000-2400;;USA;WWV Colorado (m.ann.);-TS;USA;fc;1;;
10018;0000-2400;;IND;Mumbai Radio;E;SAs;;1;;[0717]
10024;0000-2400;;HND;COCESNA Cenamer Control;E;CAm;;1;;[0616]
10048;0000-2400;;J;Tokyo Radio;E;FE;;1;;
10048;0000-2400;;USA;San Francisco Radio NP1;E;NOc;/ALS-ba;1;;[0417]
10048;0000-2400;;USA;San Francisco Radio NP1;E;NOc;/HWA-m;1;;
10051;0000-2400;;CAN;Gander Volmet x20,x50;E;NAm;g;1;;[0717]
10051;0000-2400;;USA;New York Volmet x00,x30;E;NAm;bg;1;;[0517]
10057;0000-2400;;USA;San Francisco Radio 3;E;EOc;dx;1;;[0315]
10066;0000-2400;;BGD;Dhaka Radio;E;SAs;;1;;
10066;0000-2400;;IND;Kolkata Radio;E;SAs;;1;;
10066;0000-2400;;MYA;Yangon Radio;E;SEA;;1;;
10084;0000-2400;;IND;Delhi Radio;E;SAs;;1;;
10084;0000-2400;;IND;Mumbai Radio;E;SAs;;1;;
10100.8;0000-2400;;D;DDK9 DWD Pinneberg RTTY;E;Eu;pi;1;;[0817]
10115;0000-2400;;CHN;BAF Beijing Meteo Fax;;FE;bm;1;;
10125;0820-0830;Mo,Th;POL;E11 Polish Spy Numbers;E;;p;1;111;2802[1215]
10148;0610-0620;Fr;RUS;S06 Russian Spy Numbers;R;RUS;xx;1;103;3004[0414]
10148;0610-0620;Fr;RUS;S06 Russian Spy Numbers;R;RUS;xx;1;109;3110[1014]
10186;1900-1910;Fr;RUS;G06 Russian Spy Numbers;D;RUS;xx;1;105;3108[0814]
10195.2;0000-2400;;HOL;PBB Dutch Navy Stanag;;Eu;cg;1;;[0616]
10210;1015-1025;Mo,Th;POL;S11 Polish Spy Numbers;R;;p;1;105;3108[0817]
10213;0530-0540;Tu,Sa;POL;E11 Polish Spy Numbers;E;;p;1;103;3004[0414]
10213;0530-0540;Tu,Sa;POL;E11 Polish Spy Numbers;E;;p;1;109;3110[1014]
10213;0600-0610;Mo;POL;E11 Polish Spy Numbers;E;;p;1;105;3108[0517]
10213;0745-0755;Mo;POL;E11 Polish Spy Numbers;E;;p;1;109;3004[0417]
10213;0930-0940;We,Th;POL;E11 Polish Spy Numbers;E;;p;1;105;3108[0516]
10213;1705-1715;We,Sa;POL;E11 Polish Spy Numbers;E;;p;1;103;3004[0417]
10213;1705-1715;We,Sa;POL;E11 Polish Spy Numbers;E;;p;1;109;3110[0915]
10213;1810-1820;Tu,Sa;POL;E11 Polish Spy Numbers;E;;p;1;111;2802[0215]
10230;1200-1210;Mo;RUS;S06 Russian Spy Numbers;R;RUS;xx;1;105;3108[0817]
10250;1210-1220;Sa;RUS;S06 Russian Spy Numbers;R;RUS;xx;1;105;3108[0814]
10255;1554-1630;;VTN;Vietnamese Spy Numbers;VN;FE;xx;1;;[0316]
10290;0930-0940;Fr;RUS;S06 Russian Spy Numbers;R;RUS;xx;1;105;3108[0716]
10302;1045-1055;Tu,We;POL;E11 Polish Spy Numbers;E;;p;1;105;3108[0815]
10302;1300-1310;Th,Sa;POL;E11 Polish Spy Numbers;E;;p;1;103;3004[0417]
10302;1300-1310;Th,Sa;POL;E11 Polish Spy Numbers;E;;p;1;109;3110
10325;0940-0950;Th;RUS;S06 Russian Spy Numbers;R;RUS;xx;1;105;3108[0717]
10330;1530-1540;Th;POL;E11 Polish Spy Numbers;E;;p;1;103;3004[0417]
10330;1530-1540;Th;POL;E11 Polish Spy Numbers;E;;p;1;109;3110[0915]
10345;0554-0650;1357;CUB;Cuban Spy Numbers;S;Am;;1;;[0817]
10350;1200-1210;Sa;RUS;S06 Russian Spy Numbers;R;RUS;xx;1;103;3004[0414]
10350;1200-1210;Sa;RUS;S06 Russian Spy Numbers;R;RUS;xx;1;109;3110[0914]
10356;1530-1540;Th;POL;E11 Polish Spy Numbers;E;;p;1;105;3108[0517]
10420;0810-0820;Tu;RUS;S06 Russian Spy Numbers;R;RUS;xx;1;103;3004[0316]
10420;0810-0820;Tu;RUS;S06 Russian Spy Numbers;R;RUS;xx;1;109;3110[1014]
10429;0710-0720;Tu,Fr;POL;E11 Polish Spy Numbers;E;;p;1;105;3108[0817]
10429;0805-0815;We,Su;POL;E11 Polish Spy Numbers;E;;p;1;111;2802[1215]
10448;1625-1635;We,Sa;POL;E11 Polish Spy Numbers;E;;p;1;103;3004[0417]
10448;1625-1635;We,Sa;POL;E11 Polish Spy Numbers;E;;p;1;109;3110[0915]
10448;1625-1635;We,Sa;POL;E11 Polish Spy Numbers;E;;p;1;111;2802[0216]
10448;1625-1635;Su;POL;E11 Polish Spy Numbers;E;;p;1;103;3004[0417]
10448;1625-1635;Su;POL;E11 Polish Spy Numbers;E;;p;1;109;3110[0916]
10487;1710-1720;Mo,Fr;POL;E11 Polish Spy Numbers;E;;p;1;105;3108[0815]
10514;0940-0950;Th;RUS;S06 Russian Spy Numbers;R;RUS;xx;1;103;3004[0417]
10514;0940-0950;Th;RUS;S06 Russian Spy Numbers;R;RUS;xx;1;109;3110[0917]
10532;0840-0850;We;RUS;S06 Russian Spy Numbers;R;RUS;xx;1;111;2802[0117]
10536;0001-2321;;CAN;CFH Halifax Meteo Fax;;ENA;hx;1;;
10543;0000-2400;;RUS;RCV Russian Navy;-CW;RUS;se;1;;[0417]
10555;0015-0215;;AUS;VMW Wiluna Met Fax;;Oc;w;1;;
10555;0245-0330;;AUS;VMW Wiluna Met Fax;;Oc;w;1;;
10555;0400-0945;;AUS;VMW Wiluna Met Fax;;Oc;w;1;;[0517]
10555;1015-1100;;AUS;VMW Wiluna Met Fax;;Oc;w;1;;
10555;1100-1715;;AUS;VMW Wiluna Met Fax;;Oc;w;1;;[0416]
10555;1800-1845;;AUS;VMW Wiluna Met Fax;;Oc;w;1;;[0416]
10555;1915-2045;;AUS;VMW Wiluna Met Fax;;Oc;w;1;;[0817]
10555;2215-2400;;AUS;VMW Wiluna Met Fax;;Oc;w;1;;[0316]
10559.2;0000-2400;;D;DHJ58 Marine Stanag;;Eu;gl;1;;[0616]
10620;1925-1935;245;POL;E11 Polish Spy Numbers;E;;p;1;103;3004[0417]
10620;1925-1935;245;POL;E11 Polish Spy Numbers;E;;p;1;109;3110[0915]
10635;1310-1320;Mo;RUS;S06 Russian Spy Numbers;R;RUS;xx;1;111;2802[1214]
10641;1445-1455;Th;POL;E11 Polish Spy Numbers;E;;p;1;103;3004[0416]
10641;1445-1455;Th;POL;E11 Polish Spy Numbers;E;;p;1;109;3110
10690;0830-0840;Mo,Fr;POL;E11 Polish Spy Numbers;E;;p;1;103;3004[0414]
10690;0830-0840;Mo,Fr;POL;E11 Polish Spy Numbers;E;;p;1;109;3110[0914]
10690;1400-1410;Tu,Sa;POL;E11 Polish Spy Numbers;E;;p;1;111;2802[0115]
10692;0000-2400;;RUS;RAA Russian Navy;-CW;RUS;xx;1;;[0616]
10715;2154-2250;1357;CUB;Cuban Spy Numbers;S;Am;;1;;[0617]
10755;0400-0420;We;RUS;S06 Russian Spy Numbers;R;FE;xx;1;110;3110[1014]
10755;0810-0830;We;RUS;S06 Russian Spy Numbers;R;FE;xx;1;110;3110[1014]
10800;0450-0500;Mo;POL;E11 Polish Spy Numbers;E;;p;1;105;3108[0814]
10800;0645-0655;Tu,Th;POL;E11 Polish Spy Numbers;E;;p;1;103;3004[0417]
10800;0645-0655;Tu,Th;POL;E11 Polish Spy Numbers;E;;p;1;109;3110[0917]
10800;0710-0720;Tu,Fr;POL;E11 Polish Spy Numbers;E;;p;1;111;2802[1215]
10800;1540-1550;We,Sa;POL;S11 Polish Spy Numbers;R;;p;1;103;3004[0417]
10800;1540-1550;We,Sa;POL;S11 Polish Spy Numbers;R;;p;1;109;3110
10800;1645-1655;Tu,Th;POL;E11 Polish Spy Numbers;E;;p;1;103;3004
10800;1645-1655;Tu,Th;POL;E11 Polish Spy Numbers;E;;p;1;109;3110[0917]
10820;0100-0700;;TWN;Sound of Hope;M;FE;;1;;[0917]
10820;0700-0800;;TWN;Sound of Hope;M;FE;;1;;
10820;0800-1000;;TWN;Sound of Hope;M;FE;;1;;[0917]
10820;1000-1100;;TWN;Sound of Hope;M;FE;;1;;[0617]
10820;1100-1400;;TWN;Sound of Hope;M;FE;;1;;
10820;1400-1500;;TWN;Sound of Hope;M;FE;;1;;[0617]
10820;1500-1600;;TWN;Sound of Hope;M;FE;;1;;
10820;1600-1700;;TWN;Sound of Hope;M;FE;;1;;
10820;2200-2300;;TWN;Sound of Hope;M;FE;;1;;
10820;2300-0100;;TWN;Sound of Hope;M;FE;;1;;
10846;1300-1310;Tu;RUS;S06 Russian Spy Numbers;R;RUS;xx;1;103;3004[0417]
10846;1300-1310;Tu;RUS;S06 Russian Spy Numbers;R;RUS;xx;1;109;3110
10860;0454-0550;1357;CUB;Cuban Spy Numbers;S;Am;;1;;[0917]
10870;0100-0700;;TWN;Sound of Hope;M;FE;;1;;[0917]
10870;0700-0800;;TWN;Sound of Hope;M;FE;;1;;
10870;0800-1000;;TWN;Sound of Hope;M;FE;;1;;[0917]
10870;1000-1100;;TWN;Sound of Hope;M;FE;;1;;[0617]
10870;1100-1400;;TWN;Sound of Hope;M;FE;;1;;
10870;1400-1500;;TWN;Sound of Hope;M;FE;;1;;
10870;1500-1600;;TWN;Sound of Hope;M;FE;;1;;
10870;1600-1700;;TWN;Sound of Hope;M;FE;;1;;
10870;2100-2200;;TWN;Sound of Hope;M;FE;;1;;
10870;2200-2300;;TWN;Sound of Hope;M;FE;;1;;
10870;2300-0100;;TWN;Sound of Hope;M;FE;;1;;
10871.7;0000-2400;;RUS;Channel Marker D;-CW;EEu;se;1;;[0417]
10871.8;0000-2400;;RUS;Channel Marker P;-CW;RUS;kl;1;;
10871.9;0000-2400;;RUS;Channel Marker S;-CW;RUS;sm;1;;[0716]
10872;0000-2400;;RUS;Channel Marker C;-CW;RUS;m;1;;[0516]
10872.1;0000-2400;;RUS;Channel Marker A;-CW;RUS;as;1;;
10872.2;0000-2400;;RUS;Channel Marker F;-CW;FE;vl;1;;[0417]
10872.3;0000-2400;;RUS;Channel Marker K;-CW;FE;as;1;;[0416]
10872.4;0000-2400;;RUS;Channel Marker M;-CW;FE;mg;1;;[0417]
10878;1700-1710;Tu,Su;RUS;S06 Russian Spy Numbers;R;RUS;xx;1;102;2802[0214]
10920;1210-1220;Th;RUS;S06 Russian Spy Numbers;R;RUS;xx;1;111;2802[1215]
10920.1;0100-0700;;TWN;Sound of Hope;M;FE;;1;;[0717]
10920.1;0700-0800;;TWN;Sound of Hope;M;FE;;1;;
10920.1;0800-1000;;TWN;Sound of Hope;M;FE;;1;;[0917]
10920.1;1000-1100;;TWN;Sound of Hope;M;FE;;1;;[0617]
10920.1;1100-1400;;TWN;Sound of Hope;M;FE;;1;;
10920.1;1400-1500;;TWN;Sound of Hope;M;FE;;1;;
10920.1;1500-1600;;TWN;Sound of Hope;M;FE;;1;;
10920.1;1600-1700;;TWN;Sound of Hope;M;FE;;1;;
10920.1;1700-1800;;TWN;Sound of Hope;M;FE;;1;;
10920.1;2100-2200;;TWN;Sound of Hope;M;FE;;1;;
10920.1;2200-2300;;TWN;Sound of Hope;M;FE;;1;;
10920.1;2300-0100;;TWN;Sound of Hope;M;FE;;1;;
10960;0100-0700;;TWN;Sound of Hope;M;FE;;1;;[0917]
10960;0700-0800;;TWN;Sound of Hope;M;FE;;1;;
10960;0800-1000;;TWN;Sound of Hope;M;FE;;1;;[0917]
10960;1000-1100;;TWN;Sound of Hope;M;FE;;1;;
10960;1100-1400;;TWN;Sound of Hope;M;FE;;1;;[0915]
10960;1400-1500;;TWN;Sound of Hope;M;FE;;1;;[0515]
10960;1500-1600;;TWN;Sound of Hope;M;FE;;1;;
10960;1600-1700;;TWN;Sound of Hope;M;FE;;1;;
10960;2100-2200;;TWN;Sound of Hope;M;FE;;1;;
10960;2200-2300;;TWN;Sound of Hope;M;FE;;1;;
10960;2300-0100;;TWN;Sound of Hope;M;FE;;1;;
11030;0000-0015;;AUS;VMC Charleville Met Fax;;Tas;c;1;;
11030;0015-0215;;AUS;VMC Charleville Met Fax;;Oc;c;1;;
11030;0245-0330;;AUS;VMC Charleville Met Fax;;Oc;c;1;;
11030;0345-0400;;AUS;VMC Charleville Met Fax;;Tas;c;1;;
11030;0400-0500;;AUS;VMC Charleville Met Fax;;Oc;c;1;;[0616]
11030;0500-0600;;AUS;VMC Charleville Met Fax;;Tas;c;1;;[0517]
11030;0600-0900;;AUS;VMC Charleville Met Fax;;Oc;c;1;;[0417]
11030;0900-0945;;AUS;VMC Charleville Met Fax;;Oc;c;1;;
11030;1015-1715;;AUS;VMC Charleville Met Fax;;Oc;c;1;;
11030;1800-1845;;AUS;VMC Charleville Met Fax;;Oc;c;1;;
11030;1915-2045;;AUS;VMC Charleville Met Fax;;Oc;c;1;;
11030;2215-2400;;AUS;VMC Charleville Met Fax;;Oc;c;1;;
11030;1915-1925;Mo;RUS;S06 Russian Spy Numbers;R;RUS;xx;1;103;3103[0314]
11039;0000-2400;;D;DDH9 DWD Pinneberg RTTY;E;Eu;pi;1;;[0616]
11070;0100-0700;;TWN;Sound of Hope;M;FE;;1;;[0917]
11070;0700-0800;;TWN;Sound of Hope;M;FE;;1;;
11070;0800-1000;;TWN;Sound of Hope;M;FE;;1;;[0917]
11070;1000-1100;;TWN;Sound of Hope;M;FE;;1;;
11070;1100-1400;;TWN;Sound of Hope;M;FE;;1;;
11070;1400-1500;;TWN;Sound of Hope;M;FE;;1;;
11070;1500-1600;;TWN;Sound of Hope;M;FE;;1;;
11070;1600-1700;;TWN;Sound of Hope;M;FE;;1;;
11070;2200-2300;;TWN;Sound of Hope;M;FE;;1;;
11070;2300-0100;;TWN;Sound of Hope;M;FE;;1;;
11073;0740-0750;We;RUS;S06 Russian Spy Numbers;R;RUS;xx;1;103;3004[0414]
11073;0740-0750;We;RUS;S06 Russian Spy Numbers;R;RUS;xx;1;109;3110
11085;0830-0840;We;RUS;S06 Russian Spy Numbers;R;RUS;xx;1;105;3108[0517]
11086.5;0600-2000;;G;GYA Northwood Meteo Fax;;WEu;nw;1;;
11090;0519-1600;;HWA;KVM70 Fax Honolulu;;Oc;nm;1;;[0817]
11090;1719-0400;;HWA;KVM70 Fax Honolulu;;Oc;nm;1;;[0416]
11092;1540-1550;Sa;POL;S11 Polish Spy Numbers;R;;p;1;105;3108[0616]
11100;0820-0830;Mo,Th;POL;E11 Polish Spy Numbers;E;;p;1;111;2802[0217]
11100;1205-1215;Tu,We;POL;E11 Polish Spy Numbers;E;;p;1;111;2802[1215]
11100;0100-0700;;TWN;Sound of Hope;M;FE;;1;;[0917]
11100;0700-0800;;TWN;Sound of Hope;M;FE;;1;;[0617]
11100;0800-1000;;TWN;Sound of Hope;M;FE;;1;;[0917]
11100;1000-1100;;TWN;Sound of Hope;M;FE;;1;;
11100;1100-1400;;TWN;Sound of Hope;M;FE;;1;;
11100;1400-1500;;TWN;Sound of Hope;CA;FE;;1;;
11100;1500-1600;;TWN;Sound of Hope;M;FE;;1;;
11100;2200-2300;;TWN;Sound of Hope;M;FE;;1;;
11100;2300-0100;;TWN;Sound of Hope;M;FE;;1;;
11105;1915-1925;Mo;RUS;S06 Russian Spy Numbers;R;RUS;xx;1;104;3004[0414]
11107;2005-2015;SaSu;POL;E11 Polish Spy Numbers;E;;p;1;111;2802[1114]
11150.1;0100-0700;;TWN;Sound of Hope;M;FE;;1;;[0917]
11150.1;0700-0800;;TWN;Sound of Hope;M;FE;;1;;
11150.1;0800-1000;;TWN;Sound of Hope;M;FE;;1;;[0917]
11150.1;1000-1100;;TWN;Sound of Hope;M;FE;;1;;
11150.1;1100-1400;;TWN;Sound of Hope;M;FE;;1;;
11150.1;1400-1500;;TWN;Sound of Hope;M;FE;;1;;
11150.1;1500-1600;;TWN;Sound of Hope;M;FE;;1;;
11150.1;1600-1700;;TWN;Sound of Hope;M;FE;;1;;
11150.1;2200-2300;;TWN;Sound of Hope;M;FE;;1;;
11150.1;2300-0100;;TWN;Sound of Hope;M;FE;;1;;
11165;0950-1000;Th;RUS;S06 Russian Spy Numbers;R;RUS;xx;1;105;3108[0814]
11175;0000-2400;;USA;US Air Force Messages;E;NAm;;1;;[0417]
11217;0000-2400;;D;DHM91 German Air Force;E;Eu;al;1;;
11253;0000-2400;;G;RAF Volmet;E;Eu;;1;;[0717]
11279;0000-2400;;UZB;Tashkent Volmet x20,x50;R;CAs;a;1;;[0217]
11282;0000-2400;;USA;San Francisco Radio 2;E;EOc;dx;1;;[0915]
11285;0000-2400;;IND;Chennai Radio;E;SAs;;1;;[0717]
11297;0000-2400;;RUS;Rostov Volmet x25,55;R;CIS;rv;1;;[0417]
11300;0000-2400;;LBY;Tripoli Radio;E;EAf;;1;;[0915]
11300;0000-2400;;SDN;Khartoum Radio;E;EAf;a;1;;[0616]
11300;0000-2400;;SEY;Seychelles Radio;E;EAf;;1;;[0616]
11300;0000-2400;;SOM;Mogadishu Radio;E;EAf;ma;1;;[0616]
11300.1;0100-0700;;TWN;Sound of Hope;M;FE;;1;;[0917]
11300.1;0700-0800;;TWN;Sound of Hope;M;FE;;1;;[0617]
11300.1;0800-1000;;TWN;Sound of Hope;M;FE;;1;;[0917]
11300.1;1000-1100;;TWN;Sound of Hope;M;FE;;1;;
11300.1;1100-1400;;TWN;Sound of Hope;M;FE;;1;;
11300.1;1400-1500;;TWN;Sound of Hope;M;FE;;1;;
11300.1;1500-1600;;TWN;Sound of Hope;M;FE;;1;;
11300.1;1600-1700;;TWN;Sound of Hope;M;FE;;1;;
11300.1;2100-2200;;TWN;Sound of Hope;M;FE;;1;;
11300.1;2200-2300;;TWN;Sound of Hope;M;FE;;1;;
11300.1;2300-0100;;TWN;Sound of Hope;M;FE;;1;;
11309;0000-2400;;AZR;Santa Maria Radio E;E;NAO;sm;1;;
11309;0000-2400;;USA;New York Radio E;E;NAO;bg;1;;[0415]
11318;0000-2400;;RUS;Novosibir Volmet x10,40;R;CIS;nv;1;;[0314]
11318;0000-2400;;RUS;Samara Volmet x15,45;R;CIS;sv;1;;[0616]
11318;0000-2400;;RUS;Syktyvkar Volmet x00,30;R;CIS;sy;1;;[0616]
11330;0000-2400;;USA;New York Radio CAR-B;E;Car;bg;1;;[0815]
11330;0000-2400;;USA;San Francisco Radio NP2;E;NOc;/HWA-m;1;;
11336;0000-2400;;CAN;Gander Radio C;E;NAO;g;1;;
11336;0000-2400;;IRL;Shanwick Radio C;E;NAO;s;1;;
11336;0000-2400;;ISL;Keflavik Radio C;E;NAO;;1;;
11345;0600-1800;;S;Stockholm Radio;E;Eu;;1;;[1214]
11345;1800-0600;;S;Stockholm Radio;E;Eu;;1;;[0717]
11369;0100-0700;;TWN;Sound of Hope;M;FE;;1;;[1216]
11369;0700-0800;;TWN;Sound of Hope;M;FE;;1;;
11369;0800-1000;;TWN;Sound of Hope;M;FE;;1;;
11369;1000-1100;;TWN;Sound of Hope;M;FE;;1;;
11369;1100-1400;;TWN;Sound of Hope;M;FE;;1;;[0917]
11369;1400-1500;;TWN;Sound of Hope;M;FE;;1;;
11369;1500-1600;;TWN;Sound of Hope;M;FE;;1;;
11369;1600-1700;;TWN;Sound of Hope;M;FE;;1;;
11369;2100-2200;;TWN;Sound of Hope;M;FE;;1;;
11369;2200-2300;;TWN;Sound of Hope;M;FE;;1;;
11369;2300-0100;;TWN;Sound of Hope;M;FE;;1;;
11384;0000-2400;;USA;San Francisco Radio CWP;E;WOc;/GUM-b;1;;
11384;0000-2400;;USA;San Francisco Radio CWP;E;WOc;/HWA-m;1;;
11387;0000-2400;;AUS;Australia Volmet x00,30;E;Oc;n;1;;[0516]
11387;0305-1240;;IND;Kolkata Volmet x05,x35;E;SAs;kv;1;;[0314]
11387;0325-1300;;IND;Mumbai Volmet x25,x55;E;SAs;mv;1;;
11387;0145-1450;;PAK;Karachi Volmet x15,x45;E;SAs;kv;1;;
11387;2250-1225;;SNG;Singpore Volmet x20,x50;E;SAs;v;1;;[0314]
11387;2310-1145;;THA;Bangkok Volmet x10,x40;E;SAs;bv;1;;
11390;0730-1130;;I;Marconi Radio Int.;E;Eu;;6;309;309
11390;0830-1130;;I;Marconi Radio Int.;E;Eu;;6;907;907
11396;0000-2400;;USA;New York Radio CAR-A;E;Car;bg;1;;[0615]
11410;0100-0700;;TWN;Sound of Hope;M;FE;;1;;[0917]
11410;0700-0800;;TWN;Sound of Hope;M;FE;;1;;
11410;0800-1000;;TWN;Sound of Hope;M;FE;;1;;[0917]
11410;1000-1100;;TWN;Sound of Hope;M;FE;;1;;
11410;1100-1400;;TWN;Sound of Hope;M;FE;;1;;
11410;1400-1500;;TWN;Sound of Hope;M;FE;;1;;
11410;1500-1600;;TWN;Sound of Hope;M;FE;;1;;
11410;1600-1700;;TWN;Sound of Hope;M;FE;;1;;
11410;2100-2200;;TWN;Sound of Hope;M;FE;;1;;
11410;2200-2300;;TWN;Sound of Hope;M;FE;;1;;
11410;2300-0100;;TWN;Sound of Hope;M;FE;;1;;
11421.5;0000-2400;;CRO;FJY5 ARQ-E3 192bd/400Hz;;ANT;;1;;
11430;0400-0430;;TWN;Star-Star Bc.Station;M;CHN;;1;;
11430;0500-0530;;TWN;Star-Star Bc.Station;M;CHN;;1;;[0217]
11430;0600-0630;;TWN;Star-Star Bc.Station;M;CHN;;1;;[1216]
11430;1200-1240;;TWN;Star-Star Bc.Station;M;CHN;;1;;
11430;1300-1330;;TWN;Star-Star Bc.Station;M;CHN;;1;;[0517]
11435;1554-1650;;CUB;Cuban Spy Numbers;S;Am;;1;;[0917]
11440;0100-0700;;TWN;Sound of Hope;M;FE;;1;;[0917]
11440;0700-0800;;TWN;Sound of Hope;M;FE;;1;;[0617]
11440;0800-1000;;TWN;Sound of Hope;M;FE;;1;;
11440;1000-1100;;TWN;Sound of Hope;M;FE;;1;;
11440;1100-1400;;TWN;Sound of Hope;M;FE;;1;;[0917]
11440;1400-1500;;TWN;Sound of Hope;M;FE;;1;;
11440;1500-1600;;TWN;Sound of Hope;M;FE;;1;;
11440;1600-1700;;TWN;Sound of Hope;M;FE;;1;;
11440;2100-2200;;TWN;Sound of Hope;M;FE;;1;;
11440;2200-2300;;TWN;Sound of Hope;M;FE;;1;;
11440;2300-0100;;TWN;Sound of Hope;M;FE;;1;;
11450;0805-0815;We,Su;POL;E11 Polish Spy Numbers;E;;p;1;103;3004[0417]
11450;0805-0815;We,Su;POL;E11 Polish Spy Numbers;E;;p;1;109;3110[1014]
11460;1210-1220;Mo;RUS;S06 Russian Spy Numbers;R;RUS;xx;1;103;3004[0417]
11460;1210-1220;Mo;RUS;S06 Russian Spy Numbers;R;RUS;xx;1;109;3110[1017]
11460;0100-0700;;TWN;Sound of Hope;M;FE;;1;;[0917]
11460;0700-0800;;TWN;Sound of Hope;M;FE;;1;;[0617]
11460;0800-1000;;TWN;Sound of Hope;M;FE;;1;;
11460;1000-1100;;TWN;Sound of Hope;M;FE;;1;;
11460;1100-1400;;TWN;Sound of Hope;M;FE;;1;;[0917]
11460;1400-1500;;TWN;Sound of Hope;M;FE;;1;;
11460;1500-1600;;TWN;Sound of Hope;M;FE;;1;;
11460;1600-1700;;TWN;Sound of Hope;M;FE;;1;;
11460;2100-2200;;TWN;Sound of Hope;M;FE;;1;;
11460;2200-2300;;TWN;Sound of Hope;M;FE;;1;;
11460;2300-0100;;TWN;Sound of Hope;M;FE;;1;;
11462;0454-0550;246;CUB;Cuban Spy Numbers;S;Am;;1;;[0917]
11462;0854-0950;246;CUB;Cuban Spy Numbers;S;Am;;1;;[0217]
11493;1015-1025;Mo,Th;POL;S11 Polish Spy Numbers;R;;p;1;103;3004
11493;1015-1025;Mo,Th;POL;S11 Polish Spy Numbers;R;;p;1;109;3110[0917]
11499.8;0100-0700;;TWN;Sound of Hope;M;FE;;1;;[0917]
11499.8;0700-0800;;TWN;Sound of Hope;M;FE;;1;;[0617]
11499.8;0800-1000;;TWN;Sound of Hope;M;FE;;1;;[0917]
11499.8;1000-1100;;TWN;Sound of Hope;M;FE;;1;;
11499.8;1100-1400;;TWN;Sound of Hope;M;FE;;1;;
11499.8;1400-1500;;TWN;Sound of Hope;M;FE;;1;;[0216]
11499.8;1500-1600;;TWN;Sound of Hope;M;FE;;1;;[0316]
11499.8;1600-1700;;TWN;Sound of Hope;M;FE;;1;;
11499.8;2100-2200;;TWN;Sound of Hope;M;FE;;1;;
11499.8;2200-2300;;TWN;Sound of Hope;M;FE;;1;;
11499.8;2300-0100;;TWN;Sound of Hope;M;FE;;1;;[0417]
11503;1200-1230;;CLA;Voice of Tibet;TB;Tib;/TJK;6;2603;304
11505;1200-1230;;CHN;CNR1 Jammer/Firedrake;M;FE;;6;2603;304
11505;1200-1230;;CHN;CNR1 Jammer/Firedrake;M;FE;;1;109;
11505;1300-1330;;CHN;CNR1 Jammer/Firedrake;M;FE;;1;105;
11507;1200-1230;;CLA;Voice of Tibet;TB;Tib;/TJK;1;109;
11507;1300-1330;;CLA;Voice of Tibet;TB;Tib;/TJK;1;105;
11508;1200-1230;;CLA;Voice of Tibet;TB;Tib;/TJK;6;2603;3108
11510;1200-1230;;CHN;CNR1 Jammer/Firedrake;M;FE;;6;2603;3108
11510;1300-1330;;CHN;CNR1 Jammer/Firedrake;M;FE;;1;2705;
11512;1300-1330;;CLA;Voice of Tibet;TB;Tib;/TJK;1;2705;
11513;1200-1230;;CLA;Voice of Tibet;TB;Tib;/TJK;1;404;
11513;1300-1330;;CLA;Voice of Tibet;TB;Tib;/TJK;6;105;2605
11515;1200-1230;;CHN;CNR1 Jammer/Firedrake;M;FE;;1;404;
11515;1300-1330;;CHN;CNR1 Jammer/Firedrake;M;FE;;6;105;2605
11520;0000-0900;;USA;WEWN EWTN Catholic R.;E;WAf;b;1;;
11520;0900-1500;;USA;WEWN EWTN Catholic R.;E;SEA;b;1;;
11530;2000-1500;;CHN;CNR1 Jammer/Firedrake;M;CHN;;1;;[0516]
11530;1654-1750;;CUB;Cuban Spy Numbers;S;Am;;1;;[0917]
11530;1854-1950;;CUB;Cuban Spy Numbers;S;Am;;1;;[0614]
11530;2254-2350;1357;CUB;Cuban Spy Numbers;S;Am;;1;;[0114]
11530;0730-0740;Tu;RUS;S06 Russian Spy Numbers;R;RUS;xx;1;109;3110[0917]
11530;0830-0840;We;RUS;S06 Russian Spy Numbers;R;RUS;xx;1;103;3004[0417]
11530;0830-0840;We;RUS;S06 Russian Spy Numbers;R;RUS;xx;1;109;3110
11530;0000-0100;;TWN;Radio Taiwan Int.;S;SAm;/USA-o;1;;
11530;0100-0700;;TWN;Sound of Hope;M;FE;;1;;
11530;0700-0800;;TWN;Sound of Hope;M;FE;;1;;[0617]
11530;0800-1000;;TWN;Sound of Hope;M;FE;;1;;
11530;1000-1100;;TWN;Sound of Hope;M;FE;;1;;
11530;1100-1400;;TWN;Sound of Hope;M;FE;;1;;[0917]
11530;1400-1500;;TWN;Sound of Hope;M;FE;;1;;[0616]
11530;1500-1600;;TWN;Sound of Hope;M;FE;;1;;
11530;2000-2100;;TWN;Sound of Hope;M;FE;;1;;
11530;2100-2200;;TWN;Sound of Hope;M;FE;;1;;
11530;2200-2300;;TWN;Sound of Hope;M;FE;;1;;
11530;2300-0100;;TWN;Sound of Hope;M;FE;;1;;
